Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Floor_Number,Total_Floors,Furnished_status,Facing,Address,Price
2,2,0,0,1200,1100,2,3,Unfurnished,West,Abids,43
2,2,0,0,1171,782,1,5,Semi-Furnished,East,Adarsh Nagar Colony-Bandlaguda Jagir,45
2,2,2,1,1155,950,3,4,Furnished,West,Addagutta Society,72
2,2,0,1,1140,1000,3,5,Unfurnished,East,Adibatla,22.8
2,2,0,1,1140,1000,4,5,Unfurnished,East,Adibatla,22.8
2,2,0,1,1150,950,0,10,Unfurnished,East,Adibatla,22.8
2,2,0,1,1160,870,2,9,Semi-Furnished,East,Adibatla,27.8
2,2,2,0,1130,1130,1,5,Unfurnished,East,Adibatla,47.2
2,2,2,1,1000,900,9,9,Semi-Furnished,East,Adibatla,24
2,2,2,1,1140,1140,0,5,Unfurnished,East,Adibatla,39.9
2,2,2,1,1195,1195,0,5,Unfurnished,East,Adibatla,41.8
2,2,2,1,1195,1195,1,7,Unfurnished,East,Adibatla,23.9
2,2,2,1,1200,1000,5,9,Furnished,East,Adibatla,20
2,2,2,1,1200,1200,0,5,Unfurnished,East,Adibatla,39.9
3,2,2,1,1625,1014,0,5,Unfurnished,East,Adibatla,56.9
3,3,2,1,1760,1121,0,5,Unfurnished,East,Adibatla,69.2
2,2,0,0,1000,1000,4,4,Semi-Furnished,East,Aditya Hills,38
2,2,0,1,1285,1100,5,5,Unfurnished,East,Alakapur,60
2,2,0,0,1225,1225,1,5,Furnished,East,ALIND Employees Colony,80
2,2,0,0,1115,890,5,5,Unfurnished,East,Alkapur Township,57
2,2,0,0,1175,900,2,4,Unfurnished,East,Alkapur Township,51
2,2,0,0,1188,1000,2,5,Furnished,East,Alkapur Township,60
2,2,0,0,1216,1216,2,5,Unfurnished,East,Alkapur Township,55.3
2,2,0,0,1235,956,2,5,Unfurnished,West,Alkapur Township,55.6
2,2,0,0,1242,1050,2,5,Unfurnished,East,Alkapur Township,65
2,2,0,0,1267,1267,1,5,Unfurnished,East,Alkapur Township,66
2,2,0,0,1315,1030,4,5,Unfurnished,West,Alkapur Township,63.1
2,2,0,0,1315,1215,5,5,Unfurnished,West,Alkapur Township,57.9
2,2,0,0,1385,1285,5,5,Unfurnished,East,Alkapur Township,69.5
2,2,0,1,1150,1150,1,5,Semi-Furnished,West,Alkapur Township,51.3
2,2,0,1,1180,1180,1,5,Semi-Furnished,East,Alkapur Township,49
2,2,0,1,1204,1204,1,5,Unfurnished,East,Alkapur Township,60.4
2,2,0,1,1215,1215,1,5,Semi-Furnished,West,Alkapur Township,55.7
2,2,0,1,1250,1250,1,5,Semi-Furnished,West,Alkapur Township,57.3
2,2,0,1,1285,1285,1,5,Semi-Furnished,West,Alkapur Township,54
2,2,2,0,1100,1000,5,5,Unfurnished,East,Alkapur Township,57.2
2,2,2,0,1100,1100,5,5,Unfurnished,West,Alkapur Township,49
2,2,2,0,1340,980,2,5,Unfurnished,West,Alkapur Township,64
2,2,2,0,1385,1310,5,6,Furnished,North - West,Alkapur Township,68.5
2,2,2,1,1135,1135,2,5,Unfurnished,East,Alkapur Township,52
2,2,2,1,1153,1150,3,5,Unfurnished,East,Alkapur Township,60.4
2,2,2,1,1200,1180,3,5,Unfurnished,East,Alkapur Township,57
2,2,2,1,1235,1235,1,5,Furnished,West,Alkapur Township,56
3,2,0,1,1366,1366,1,5,Unfurnished,East,Alkapur Township,67.8
3,3,2,1,1515,1615,5,5,Unfurnished,East,Alkapur Township,65
3,3,3,1,1535,1350,4,5,Semi-Furnished,East,Alkapur Township,76
3,3,3,1,1590,1400,3,5,Unfurnished,East,Alkapur Township,64
3,2,0,1,1615,1400,5,5,Semi-Furnished,East,Alkapur Township,65
3,3,2,0,1615,1615,5,5,Furnished,East,Alkapur Township,65
3,3,0,0,1645,1645,2,5,Unfurnished,East,Alkapur Township,75.7
3,3,2,1,1676,1576,0,6,Unfurnished,East,Alkapur Township,78
3,3,0,1,1700,1325,2,4,Unfurnished,North,Alkapur Township,78.3
3,2,3,0,1700,1600,1,5,Furnished,East,Alkapur Township,76.5
3,3,0,0,1725,1350,4,4,Unfurnished,North,Alkapur Township,78.4
3,3,0,1,1725,1625,3,4,Unfurnished,North,Alkapur Township,78
3,3,0,1,1740,1740,2,4,Unfurnished,North - West,Alkapur Township,80
3,3,0,1,1840,1740,2,4,Unfurnished,East,Alkapur Township,79.5
3,3,0,1,1840,1740,1,4,Unfurnished,East,Alkapur Township,79.5
2,2,0,0,1352,1200,0,1,Semi-Furnished,North,Alwal,38.4
2,2,2,0,1230,1150,5,5,Unfurnished,East,Alwal,45
2,2,2,0,1230,995,4,5,Unfurnished,West,Alwal,40
3,2,0,1,1400,1120,3,5,Unfurnished,North - East,Alwal,58.2
2,2,2,1,1000,1000,4,5,Semi-Furnished,East,Amberpet,38
1,2,0,0,720,620,1,3,Semi-Furnished,East,Ameerpet,36
2,2,0,0,1045,945,5,5,Semi-Furnished,West,Ameerpet,65
2,2,0,0,1050,1050,1,4,Semi-Furnished,North,Ameerpet,70
2,2,0,1,1000,900,3,4,Semi-Furnished,South - East,Ameerpet,70
2,2,2,0,1080,980,0,4,Semi-Furnished,West,Ameerpet,50.2
3,2,0,0,1425,1325,3,4,Semi-Furnished,East,Ameerpet,65
2,2,0,0,1205,1205,12,32,Unfurnished,East,Aminpur,30.1
2,2,0,0,1250,1150,4,5,Semi-Furnished,North - East,Aminpur,68
2,2,0,0,1330,1064,1,5,Unfurnished,East,Aminpur,53.9
2,2,2,0,1175,1175,0,2,Unfurnished,West,Aminpur,50
2,2,2,1,1050,1050,2,4,Semi-Furnished,North,Aminpur,32
2,2,2,1,1205,1200,4,25,Unfurnished,East,Aminpur,28.9
3,2,0,0,1250,1250,2,5,Semi-Furnished,East,Aminpur,55
3,2,0,0,1250,1250,2,5,Semi-Furnished,East,Aminpur,55
3,3,2,0,1500,1400,6,8,Semi-Furnished,East,Aminpur,68
3,3,0,0,1640,1245,15,32,Unfurnished,East,Aminpur,41
3,3,0,0,1640,1205,6,32,Unfurnished,East,Aminpur,39.4
1,1,2,0,640,550,1,3,Semi-Furnished,East,Anjaneyanagar Colony,26
2,2,0,0,1180,1180,4,5,Unfurnished,West,Appa junction,62
2,2,0,0,1279,870,9,19,Unfurnished,East,Appa junction,63.9
2,2,0,0,1282,1282,12,19,Unfurnished,West,Appa junction,63
2,2,0,0,1392,1392,10,19,Unfurnished,West,Appa junction,70.2
2,2,0,0,1396,1396,12,19,Unfurnished,East,Appa junction,67.9
2,2,0,0,1507,1507,12,19,Unfurnished,West,Appa junction,72.8
2,2,0,0,1562,1562,12,19,Unfurnished,West,Appa junction,75.2
2,2,0,1,1430,1073,8,18,Unfurnished,West,Appa junction,68.6
2,2,2,1,1487,1100,5,12,Semi-Furnished,East,Appa junction,70
2,3,0,0,1450,900,19,20,Unfurnished,East,Appa junction,80
