Bedrooms,Bathrooms,Balconies,Pujaz_Rooms,Super_area,Carpet_area,Furnished_status,Facing,Address,Price
3,3,0,1,990,850,Unfurnished,West,Beeramguda,55
3,2,0,0,873,810,Unfurnished,East,Chilakalguda,65
3,2,0,0,828,774,Semi-Furnished,None,EdiBazaar,65
3,2,0,1,900,800,Semi-Furnished,North,Gowlipura,35
3,3,0,0,900,800,Unfurnished,None,SalalaBarkas,35
3,3,0,1,900,850,Unfurnished,West,Beeramguda,55
3,3,0,0,648,140,Unfurnished,South,Meerpet,45
3,3,3,1,3000,2700,Unfurnished,East,Dammaiguda,70
3,3,0,1,273,273,Unfurnished,East,Tukkuguda,65.5
3,4,2,1,2700,2000,Semi-Furnished,None,Adibatla,55
3,4,2,1,2700,2000,Semi-Furnished,East,Adibatla,55
3,4,2,1,2700,2000,Semi-Furnished,East,Adibatla,55
3,3,2,0,2400,2400,Unfurnished,South -West,Moinabad,65
3,2,2,1,2100,1925,Unfurnished,East,Shadnagar,65
3,3,0,0,2100,2100,Unfurnished,None,Patelguda,68
3,4,0,1,2100,2100,Unfurnished,West,GurramGuda,70
3,4,0,1,2000,1800,Furnished,North,GurramGuda,70
3,2,0,0,200,200,Furnished,None,PrajayWaterFront,55
3,3,0,1,1950,1950,Unfurnished,None,CSKGreenVillas,57
3,3,2,1,1900,1900,Unfurnished,West,Ahmadguda,60
3,2,0,0,1890,1700,Unfurnished,None,ToliChowki,65
3,3,0,1,1638,1580,Unfurnished,East,Nagaram,70
3,3,2,1,1800,1800,Unfurnished,West,Rampally,68
3,4,2,1,1800,1200,Semi-Furnished,East,Adibatla,38
3,4,2,1,1800,1400,Semi-Furnished,East,Adibatla,35
3,3,0,1,1620,1620,Unfurnished,None,Shamirpet,60
3,2,2,0,1620,180,Furnished,None,Miyapur,65
3,3,0,1,1503,1503,Unfurnished,East,Tukkuguda,70
3,3,2,1,1503,167,Semi-Furnished,East,Tukkuguda,40
3,2,0,1,1650,1650,Unfurnished,None,CSKGreenVillas,47
3,3,2,1,1650,1649,Unfurnished,None,CSKGreenVillas,50
3,3,0,1,1650,1650,Unfurnished,East,Patancheru,60
3,3,0,0,1650,1650,Semi-Furnished,None,LBNagar,65
3,3,2,0,1650,1550,Semi-Furnished,North - East,Chilakalguda,60
3,2,2,0,1630,1630,Unfurnished,None,RukminiEnclave,56
3,3,0,1,1600,1600,Unfurnished,West,Tukkuguda,70
3,3,2,1,1600,1400,Semi-Furnished,East,Tukkuguda,40
3,3,2,1,1600,1200,Semi-Furnished,North - East,Tukkuguda,37
3,3,2,1,1600,1600,Unfurnished,East,SrisailamHighway,40
3,4,2,0,1600,1500,Semi-Furnished,None,VRREnclave,70
3,3,0,1,1600,1600,Semi-Furnished,East,Mallampet,54
3,3,0,0,1500,1500,Unfurnished,East,Tukkuguda,70
3,3,2,1,1500,1500,Semi-Furnished,East,Tukkuguda,40
3,3,2,1,1500,1500,Semi-Furnished,North,MedchalRoad,63.7
3,3,2,1,1500,1500,Semi-Furnished,North,MedchalRoad,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,2,1,1500,1500,Semi-Furnished,East,Medchal,63.7
3,3,0,1,1500,1500,Unfurnished,West,Ghatkesar,70
3,2,0,0,1500,1500,Semi-Furnished,None,Chowderguda,50
3,3,0,0,1485,1485,Unfurnished,None,ModiEmeraldParkPhase1,70
3,3,0,0,1425,1068,Unfurnished,None,RaghavendraNagar-Nacharam,64
3,3,0,1,1400,1400,Unfurnished,West,Aminpur,68
3,3,0,1,1400,1400,Unfurnished,West,Aminpur,68
3,3,2,0,1380,1380,Semi-Furnished,East,FilmNagar,55
3,3,0,1,1350,1287,Semi-Furnished,West,Anantapur,45
3,3,2,1,1350,1350,Unfurnished,West,Manikonda,55
3,2,2,0,1350,1250,Furnished,None,Habsiguda,65
3,2,0,1,1250,1250,Unfurnished,East,Balapur,65
3,2,0,0,1098,115,Unfurnished,None,Falaknuma,45
3,2,0,0,1080,1080,Unfurnished,None,Karwan,28
3,2,0,0,1026,105,Furnished,None,MallapurVillage,58
3,2,0,0,1100,1100,Unfurnished,None,SuchirsOdyssey,48
3,1,0,0,990,100,Unfurnished,None,Balapur,20
3,3,2,0,963,107,Unfurnished,None,BandlagudaJagir,40
3,3,3,1,900,100,Unfurnished,None,Ramanthapur,60
3,2,0,0,900,900,Unfurnished,North - East,Nacaharam,65
3,2,0,0,900,810,Unfurnished,None,Chandrayanguttabalguda,38
3,1,0,0,900,810,Unfurnished,None,Bandlaguda-Chandrayanagutta,22
3,2,0,0,900,900,Unfurnished,None,AdityaNagar,52
3,1,0,0,900,900,Unfurnished,West,AdarshNagar,40
2,2,0,1,980,980,Unfurnished,East,Nagaram,50
2,2,0,1,980,686,Unfurnished,None,Kushaiguda,50
2,2,0,1,960,800,Unfurnished,East,Badangpet,47
2,2,0,1,952,666,Unfurnished,West,Nagaram,47
2,2,0,0,950,950,Unfurnished,None,VRCHomes,58
2,1,2,0,950,950,Unfurnished,None,Nagaram-Secunderabad,58
2,2,0,1,950,900,Unfurnished,West,Beeramguda,58
2,2,0,0,920,740,Unfurnished,None,Hydershakote,35
2,2,2,0,900,750,Semi-Furnished,East,Risala,33
2,2,0,1,900,800,Unfurnished,North - East,MudirajColony,42
2,2,0,0,900,900,Unfurnished,None,Medchal,40
2,2,0,1,900,850,Semi-Furnished,North,JagadgiriGutta,60
