Project_Name,Plot_Area,Transaction_Type,Address,Price
Suvarna Green City,490,New Property,Moinabad,31.8
Suvarna Green City,402,New Property,Moinabad,26.1
Vooty Golf County,400,New Property,Vikarabad,60
Mythri Enclave,300,New Property,Kothur,35.9
Fortune Butterfly City,350,New Property,Srisailam Highway,32
Aero Imperia,167,New Property,Tukkuguda,26.7
Song of the South,300,New Property,Maheshwaram,25.5
City Front,285,New Property,Mansanpally,28.5
Sri Sai Panchavati County,222,New Property,Koheda,28.8
Sathguru Jackpot,150,New Property,Adibatla,29.4
Evergreen City,470,New Property,Maheshwaram,56.4
Sterling Aster,210,New Property,Bhanoor,46.2
Space Vision Group Ambiance,347,New Property,Sadashivpet,22.5
Space Vision Group Ambiance,240,New Property,Bhuvangiri,39.4
Space Vision Group Ambiance,355,Resale,Kongara Kalan,64
Space Vision Group Ambiance,233,Resale,Gundlapochampally,65
Space Vision Group Ambiance,200,New Property,Thumukunta,42
Space Vision Group Ambiance,231,Resale,Moinabad,37
Space Vision Group Ambiance,240,Resale,Gandiguda,40
Space Vision Group Ambiance,167,New Property,Almasguda,60
Space Vision Group Ambiance,350,New Property,Medchal,65
Space Vision Group Ambiance,360,Resale,cheryala,32.4
Space Vision Group Ambiance,75,Resale,Ciniplanet,31
Space Vision Group Ambiance,278,Resale,Kongara Kalan,61
Space Vision Group Ambiance,167,New Property,Kongara Kalan,30
Space Vision Group Ambiance,267,Resale,Isnapur,62.5
Space Vision Group Ambiance,197,New Property,Kongara Kalan,39.4
Space Vision Group Ambiance,206,Resale,Thummaloor,33
Space Vision Group Ambiance,167,New Property,Railapur,43.4
Space Vision Group Ambiance,167,Resale,Jaipuri Colony Nagole,65.1
Space Vision Group Ambiance,250,Resale,Bibi nagar,20
Space Vision Group Ambiance,200,New Property,Maheshwaram,26
Space Vision Group Ambiance,251,Resale,Keesara Daira,32
Space Vision Group Ambiance,200,Resale,Maheswaram,23.5
Pragati Green Meadows,534,Resale,Shankarpalli Road,40
Pragati Green Meadows,249,Resale,Patighanpur,54.8
Pragati Green Meadows,500,Resale,Srisailam Highway,50
Cristal County III,300,New Property,Nandigama,59
Cristal County III,200,Resale,Shamirpet,24
Cristal County III,222,Resale,Bhuvangiri,28.9
Cristal County III,200,New Property,Maheshwaram,34
Cristal County III,167,New Property,Shankarpalli Road,30
Cristal County III,167,Resale,Shamirpet,35
Cristal County III,600,Resale,Kothur,60
Cristal County III,167,New Property,Gandi Maisamma,40.1
Cristal County III,240,Resale,Nandigama,43.2
Cristal County III,550,Resale,Maheshwaram,30
Cristal County III,300,Resale,Shadnagar,27.9
Cristal County III,200,Resale,Tukkuguda,22
Cristal County III,167,New Property,Tukkuguda,22.7
Cristal County III,183,New Property,Gandi Maisamma,49.4
Cristal County III,200,Resale,Auronautic Enclave,52
Cristal County III,270,New Property,Chevella Road,36.1
Cristal County III,200,New Property,Bhuvangiri,26
Cristal County III,200,Resale,Bahadurpally,48
Bhashyam Nano City,200,New Property,Kothur,24
Bhashyam Nano City,133,Resale,Tukkuguda,22.6
Bhashyam Nano City,255,Resale,Gaddapotharam,30.5
Bhashyam Nano City,194,Resale,Bhanoor,38.8
Bhashyam Nano City,286,Resale,Mokila,62
Bhashyam Nano City,183,New Property,Ghatkesar,23.8
Bhashyam Nano City,200,New Property,Tukkuguda,25
Bhashyam Nano City,150,Resale,Isnapur,43
Meenakshi County,200,New Property,Shankarpalli Road,40
Meenakshi County,300,Resale,Ibrahimpatnam,34.5
Meenakshi County,275,Resale,Isnapur,45
